Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2013,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,CN,IT,AR,28,,leather products (small),,T,R
2013,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CH,CA,,,1,baleen,,T,O
2013,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CH,CA,,,1,bones,,T,O
2013,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,20,,carvings,,T,W
2013,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,QA,FR,MO,,2,carvings,,T,O
2013,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FO,NO,,,2000,meat,kg,T,W
2013,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,IS,,,10000,derivatives,kg,T,W
2013,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,IS,,,100000,meat,kg,T,W
2013,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,IS,,909,meat,kg,T,W
2013,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,,317,6428,meat,kg,T,W
2013,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO,IS,,5000,,meat,kg,T,W
2013,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,IS,,600000,450000,meat,kg,T,W
2013,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO,IS,,,15000,meat,kg,T,W
2013,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,GB,US,XX,1,,carvings,,T,O
2013,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,GB,US,XX,,1,leather products (small),,T,O
2013,I,Bos sauveli,Mammalia,Artiodactyla,Bovidae,Bos,FR,ZA,KH,1,,skulls,,T,O
2013,I,Bos sauveli,Mammalia,Artiodactyla,Bovidae,Bos,FR,ZA,,,1,skulls,,T,O
2013,I,Bucerotidae spp.,Aves,Coraciiformes,Bucerotidae,,JO,GH,,,50,live,,T,W
2013,I,Rhinoplax vigil,Aves,Coraciiformes,Bucerotidae,Rhinoplax,CN,GB,XX,,1,carvings,,T,O
2013,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,ZA,BH,,,5,live,,T,
2013,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,IT,CH,CL,,1,derivatives,,T,W
2013,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,IT,CH,PE,,1,garments,,T,W
2013,I,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,XX,,10,live,,T,W
2013,I,Blastocerus dichotomus,Mammalia,Artiodactyla,Cervidae,Blastocerus,UY,US,,1,,specimens,,T,
2013,I,Dama dama,Mammalia,Artiodactyla,Cervidae,Dama,US,GB,XX,,1,carvings,,T,U
2013,I,Hippocamelus antisensis,Mammalia,Artiodactyla,Cervidae,Hippocamelus,UY,US,,1,,specimens,,T,
2013,I,Hippocamelus bisulcus,Mammalia,Artiodactyla,Cervidae,Hippocamelus,UY,US,,1,,specimens,,T,
