Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2014,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IE,NO,,1,1,bodies,,E,W
2014,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,SC,FR,NL,,2,live,,B,C
2014,I,Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,ZA,US,,1,,trophies,,H,W
2014,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,FR,AU,MO,1,,specimens,,E,O
2014,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,FR,AU,MO,3,,teeth,,E,O
2014,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,FR,AU,DK,1,,teeth,,E,O
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,CA,,,1,baleen,,E,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,CA,,1,,teeth,,E,W
2014,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,CA,,,1,baleen,,E,W
2014,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,CA,,1,,teeth,,E,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,FR,AU,FR,1,,skin pieces,,E,W
2014,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,AR,US,,,3,trophies,,H,F
2014,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,ES,US,,1,1,trophies,,H,F
2014,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,,3,3,trophies,,H,F
2014,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,ZA,US,,,1,trophies,,H,F
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CA,US,,,1,trophies,,H,F
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,PK,,2,,trophies,,H,W
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,US,,2,2,trophies,,H,F
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DK,PK,,2,2,trophies,,H,W
