Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2013,I,Aquila spp.,Aves,Falconiformes,Accipitridae,Aquila,ES,RU,,1,,garments,,Q,O
2013,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,GL,,15,15,bodies,,S,W
2013,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,RU,,1,,derivatives,,Q,O
2013,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,KR,CN,XX,2,,specimens,,Q,O
2013,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,KR,CN,,,1,bodies,,Q,O
2013,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,KR,CN,,,1,specimens,,Q,O
2013,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,PL,,1,,feathers,,P,I
2013,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,GB,TW,XX,3,,feathers,,Q,O
2013,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,TW,GB,XX,,3,feathers,,Q,O
2013,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,GB,NZ,,,4,specimens,,S,C
2013,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,KR,CN,XX,1,,specimens,,Q,O
2013,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,KR,CN,,,1,bodies,,Q,O
2013,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,CA,US,,,1,specimens,,S,C
2013,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,US,,,2,specimens,,S,C
2013,I,Alouatta spp.,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,187,specimens,,S,W
2013,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,5,bones,,S,W
2013,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,MX,,,405,specimens,,S,W
2013,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,NI,,,60,specimens,,S,W
2013,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,78,specimens,,S,W
2013,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,26,teeth,,S,W
2013,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,FR,MO,,8,garments,,Q,O
2013,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,1,,bones,,Q,W
2013,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,3.5,,baleen,kg,P,W
2013,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,3,5,baleen,,P,W
